City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Constitucion,CL,2020-12-26 14:40:09,-35.33,-72.42,70.29,51,23,11.03
112,Mahebourg,MU,2020-12-26 14:39:08,-20.41,57.7,80.6,83,40,13.87
113,Flinders,AU,2020-12-26 14:38:54,-34.58,150.86,68.0,86,79,3.0
114,Cherskiy,RU,2020-12-26 14:39:45,68.75,161.3,-32.94,78,21,7.34
115,Camabatela,AO,2020-12-26 14:44:08,-8.19,15.38,71.65,95,96,5.79
116,Alegrete,BR,2020-12-26 14:44:08,-29.78,-55.79,89.06,44,44,5.32
117,Lavrentiya,RU,2020-12-26 14:39:30,65.58,-171.0,7.36,89,87,10.87
118,Chino,US,2020-12-26 14:43:27,34.01,-117.69,48.2,70,1,0.87
119,Pisco,PE,2020-12-26 14:38:50,-13.7,-76.22,71.01,77,0,5.82
120,Ginir,ET,2020-12-26 14:40:12,7.13,40.7,66.22,34,3,7.45
121,Kapaa,US,2020-12-26 14:39:15,22.08,-159.32,73.4,83,75,20.8
122,Oriximina,BR,2020-12-26 14:40:38,-1.77,-55.87,79.95,86,80,1.28
123,Picos,BR,2020-12-26 14:40:24,-7.08,-41.47,95.16,30,5,7.92
124,Carnarvon,AU,2020-12-26 14:39:15,-24.87,113.63,75.2,100,75,21.92
125,Longyearbyen,SJ,2020-12-26 14:38:58,78.22,15.64,28.4,74,40,17.22
126,Filadelfia,US,2020-12-26 14:40:55,39.95,-75.16,28.0,45,40,21.92
127,Port Alfred,ZA,2020-12-26 14:39:18,-33.59,26.89,75.0,83,0,4.0
128,Ponta Do Sol,PT,2020-12-26 14:39:01,32.67,-17.1,71.01,77,75,18.34
129,San Lorenzo,PY,2020-12-26 14:44:11,-25.33,-57.53,84.2,66,75,3.36
130,Deputatskiy,RU,2020-12-26 14:44:11,69.3,139.9,-26.9,84,86,6.67
131,Provideniya,RU,2020-12-26 14:38:51,64.38,-173.3,16.9,84,100,10.83
132,Bengkulu,ID,2020-12-26 14:38:56,-3.8,102.27,78.22,86,100,4.56
133,Tabuk,PH,2020-12-26 14:39:54,17.42,121.44,73.87,86,100,1.92
134,Guerrero Negro,MX,2020-12-26 14:39:25,27.98,-114.06,55.11,42,0,2.46
135,Tiarei,PF,2020-12-26 14:44:12,-17.53,-149.33,78.8,83,75,8.05
136,Saskylakh,RU,2020-12-26 14:39:44,71.92,114.08,-13.09,88,100,13.98
137,Cidreira,BR,2020-12-26 14:39:43,-30.18,-50.21,76.48,72,99,14.25
138,Ilulissat,GL,2020-12-26 14:39:49,69.22,-51.1,3.11,92,74,3.36
139,Puerto Ayora,EC,2020-12-26 14:39:08,-0.74,-90.35,73.99,91,100,5.99
140,Faanui,PF,2020-12-26 14:39:50,-16.48,-151.75,80.33,74,100,9.35
141,Itarema,BR,2020-12-26 14:39:44,-2.92,-39.92,87.89,52,35,20.27
142,Santa Fe,AR,2020-12-26 14:41:10,-31.63,-60.7,93.0,46,0,1.99
143,Talnakh,RU,2020-12-26 14:39:20,69.49,88.4,-32.8,73,0,2.24
144,Ust-Kuyga,RU,2020-12-26 14:39:48,70.02,135.6,-28.17,83,99,2.77
145,Puerto Narino,CO,2020-12-26 14:44:14,-3.77,-70.38,80.6,88,75,9.17
146,Viedma,AR,2020-12-26 14:44:14,-40.81,-63.0,100.8,13,0,11.5
147,Robertsport,LR,2020-12-26 14:44:15,6.75,-11.37,81.36,79,69,5.39
148,Ust-Nera,RU,2020-12-26 14:40:21,64.57,143.2,-29.63,74,100,4.18
149,Kidal,ML,2020-12-26 14:44:15,18.44,1.41,82.42,14,100,12.08
150,East London,ZA,2020-12-26 14:36:13,-33.02,27.91,78.8,65,40,14.99
151,Lamu,KE,2020-12-26 14:44:15,-2.27,40.9,80.58,76,43,20.47
152,Bobcaygeon,CA,2020-12-26 14:44:16,44.55,-78.54,23.0,100,90,5.82
153,Mmabatho,ZA,2020-12-26 14:44:16,-25.85,25.63,89.6,38,40,3.36
154,Airai,TL,2020-12-26 14:38:59,-8.93,125.41,61.7,100,100,0.27
155,Karratha,AU,2020-12-26 14:40:47,-20.74,116.85,84.4,62,1,10.85
156,Madimba,TZ,2020-12-26 14:44:17,-10.4,40.33,82.4,78,40,13.87
157,Dicabisagan,PH,2020-12-26 14:44:17,17.08,122.42,78.33,84,100,6.29
158,Zhumadian,CN,2020-12-26 14:44:17,32.98,114.03,44.01,77,100,3.6
159,Bell Ville,AR,2020-12-26 14:44:17,-32.63,-62.69,91.0,41,0,1.99
160,Norman Wells,CA,2020-12-26 14:38:55,65.28,-126.83,-2.2,84,5,6.93
161,Vao,NC,2020-12-26 14:39:42,-22.67,167.48,77.11,77,88,9.48
162,Uspenskoye,RU,2020-12-26 14:44:18,44.83,41.39,44.6,33,0,8.95
163,Kovvur,IN,2020-12-26 14:44:18,17.02,81.73,75.2,69,0,8.05
164,Trunovskoye,RU,2020-12-26 14:44:18,45.49,42.14,44.6,33,0,8.95
165,Baruun-Urt,MN,2020-12-26 14:44:19,46.68,113.28,-4.07,89,0,5.82
166,El Dorado,US,2020-12-26 14:44:19,38.77,-120.52,45.0,96,100,1.01
167,Kavieng,PG,2020-12-26 14:39:30,-2.57,150.8,83.64,70,57,7.02
168,Pevek,RU,2020-12-26 14:44:19,69.7,170.31,-25.98,81,0,6.29
169,Sao Joao Da Barra,BR,2020-12-26 14:44:19,-21.64,-41.05,80.6,69,75,7.81
170,Laguna,US,2020-12-26 14:39:11,38.42,-121.42,50.0,87,1,8.05
171,Kiruna,SE,2020-12-26 14:44:20,67.86,20.23,3.2,91,100,2.24
172,Nanortalik,GL,2020-12-26 14:39:07,60.14,-45.24,21.33,83,22,17.13
173,Asau,RO,2020-12-26 14:38:51,46.43,26.4,34.0,81,100,3.27
174,Richards Bay,ZA,2020-12-26 14:35:26,-28.78,32.04,85.1,67,0,15.66
175,Lodhran,PK,2020-12-26 14:44:20,29.54,71.63,62.38,29,51,4.59
176,Pecos,US,2020-12-26 14:44:21,31.42,-103.49,28.4,25,1,9.26
177,Victoria,HK,2020-12-26 14:33:50,22.29,114.16,66.99,84,5,1.99
178,Nirmal,IN,2020-12-26 14:44:21,19.1,78.35,65.39,37,0,4.27
179,Puerto Leguizamo,CO,2020-12-26 14:44:21,-0.19,-74.78,80.51,70,95,3.71
180,Monteprandone,IT,2020-12-26 14:44:21,42.92,13.84,43.0,91,100,1.99
181,Santa Maria,BR,2020-12-26 14:42:39,-29.68,-53.81,82.4,61,40,6.93
182,Nizwa,OM,2020-12-26 14:44:22,22.93,57.53,63.48,60,8,7.47
183,Raga,SS,2020-12-26 14:44:22,8.46,25.68,94.73,17,8,7.74
184,Inta,RU,2020-12-26 14:44:22,66.03,60.17,-13.07,80,54,15.32
185,Zagora,MA,2020-12-26 14:44:23,30.35,-5.84,65.62,27,0,3.0
186,Kyaiklat,MM,2020-12-26 14:44:23,16.43,95.73,78.8,78,0,5.82
187,Santo Antonio Do Sudoeste,BR,2020-12-26 14:44:23,-26.07,-53.73,86.83,43,74,2.86
188,Chokurdakh,RU,2020-12-26 14:38:50,70.63,147.92,-15.84,90,100,6.44
189,Margate,GB,2020-12-26 14:40:41,51.38,1.39,48.99,77,100,8.01
190,Vila Franca Do Campo,PT,2020-12-26 14:38:59,37.72,-25.43,59.0,72,75,17.22
191,Vitim,RU,2020-12-26 14:44:24,59.45,112.56,-31.49,80,100,2.06
192,Nisia Floresta,BR,2020-12-26 14:44:24,-6.09,-35.21,86.0,62,40,20.8
193,Praia,CV,2020-12-26 14:44:24,14.92,-23.51,78.8,61,0,12.75
194,Belaya Gora,RU,2020-12-26 14:44:24,68.53,146.42,-20.27,87,100,10.02
195,Agadir,MA,2020-12-26 14:44:24,30.42,-9.6,78.8,27,0,7.61
196,Kribi,CM,2020-12-26 14:44:25,2.95,9.92,83.43,70,64,8.23
197,Iringa,TZ,2020-12-26 14:44:25,-7.77,35.7,66.2,93,90,8.05
198,College,US,2020-12-26 14:44:25,64.86,-147.8,6.01,69,20,1.34
199,Mayna,RU,2020-12-26 14:44:25,54.11,47.62,21.09,98,100,16.28
200,Shirokiy,RU,2020-12-26 14:44:25,49.76,129.52,-17.91,84,0,3.89
201,Rindge,US,2020-12-26 14:44:26,42.75,-72.01,27.0,63,90,6.93
202,Mackay,AU,2020-12-26 14:44:26,-21.15,149.2,77.0,78,90,17.22
203,Hofn,IS,2020-12-26 14:38:51,64.25,-15.21,29.28,89,71,15.93
204,Najran,SA,2020-12-26 14:39:46,17.49,44.13,69.8,35,0,8.05
205,Atuona,PF,2020-12-26 14:39:12,-9.8,-139.03,77.81,73,76,9.75
206,Ahipara,NZ,2020-12-26 14:40:13,-35.17,173.17,56.21,79,0,7.96
207,Pontal Do Parana,BR,2020-12-26 14:44:27,-25.65,-48.51,75.99,57,40,10.29
208,Le Port,RE,2020-12-26 14:40:33,-20.94,55.29,80.6,78,75,19.46
209,Hailey,US,2020-12-26 14:44:22,43.52,-114.32,30.2,100,90,3.83
