City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
69,Daru,PG,82.63,moderate rain,-9.08,143.21,Daru Lodge
71,Posadas,AR,82.4,clear sky,-27.37,-55.9,Hotel Posadas
73,Arraial Do Cabo,BR,78.8,clear sky,-22.97,-42.03,Pousada Porto Praia
79,Kingaroy,AU,75.0,overcast clouds,-26.53,151.83,Ascot Lodge Motel Kingaroy
80,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
82,Caravelas,BR,74.37,clear sky,-17.71,-39.25,Pousada dos Navegantes
88,Vila Velha,BR,77.0,light rain,-20.33,-40.29,Hotel Vitória Palace
89,Ombessa,CM,71.74,broken clouds,4.6,11.26,Hotel Elma**
91,Avarua,CK,84.2,scattered clouds,-21.21,-159.78,Paradise Inn
94,Segou,ML,72.63,clear sky,13.43,-6.22,Comme chez soi
96,Pisco,PE,71.6,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
102,Cabo San Lucas,MX,71.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
104,Luganville,VU,77.0,overcast clouds,-15.53,167.17,The Espiritu Hotel
106,Saint-Philippe,RE,75.2,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
107,Quatre Cocos,MU,77.0,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
108,Atuona,PF,78.91,clear sky,-9.8,-139.03,Villa Enata
111,Jardim,BR,75.45,overcast clouds,-21.48,-56.14,Hotel Estância
113,Owando,CG,73.13,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
116,Carnarvon,AU,77.0,scattered clouds,-24.87,113.63,Hospitality Carnarvon
119,Mahajanga,MG,75.2,light rain,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
125,Balabac,PH,82.17,scattered clouds,7.99,117.06,Sing and Swing Lodge
127,Monrovia,LR,77.0,scattered clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
137,Viedma,AR,82.99,scattered clouds,-40.81,-63.0,Hotel Cristal
145,Cayenne,GF,77.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
156,Bourail,NC,84.22,scattered clouds,-21.57,165.48,Nekweta
157,Mar Del Plata,AR,72.0,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata
159,Ayolas,PY,82.69,few clouds,-27.4,-56.9,Hotel Ayolas
161,Vaitape,PF,81.66,light rain,-16.52,-151.75,Conrad Bora Bora Nui
162,Maunabo,PR,77.0,broken clouds,18.01,-65.9,Maunacaribe
164,Ahuimanu,US,80.6,broken clouds,21.44,-157.84,Paradise Bay Resort
166,Sambava,MG,76.71,light rain,-14.27,50.17,Melrose
168,Dubbo,AU,77.0,clear sky,-32.25,148.62,Comfort Inn Blue Lagoon
171,Sitio Novo Do Tocantins,BR,77.7,scattered clouds,-5.52,-47.46,Imperial Hotel
173,Morant Bay,JM,80.6,scattered clouds,17.88,-76.41,Whispering Bamboo Cove Resort
177,Marsh Harbour,BS,71.15,scattered clouds,26.54,-77.06,Abaco Beach Resort
178,Santiago Del Estero,AR,87.01,clear sky,-27.8,-64.26,Hotel Urbano
182,Rio Grande,BR,75.0,few clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
184,Sao Joao Da Barra,BR,76.06,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
185,Hithadhoo,MV,81.95,overcast clouds,-0.6,73.08,Scoop Guest House
191,Bengkulu,ID,76.73,light rain,-3.8,102.27,Grage Hotel Bengkulu
200,Isangel,VU,84.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
201,Souillac,MU,77.0,scattered clouds,-20.52,57.52,Bils' Villa
202,Formosa,AR,82.4,light rain,-26.18,-58.18,Asterión Hotel
207,Ulverstone,AU,70.0,clear sky,-41.15,146.17,Westella Colonial Bed & Breakfast
209,Rawson,AR,72.19,scattered clouds,-43.3,-65.1,Hotel Punta León
210,Geraldton,AU,75.2,clear sky,-28.77,114.6,Broadwater Mariner Resort
213,Alta Floresta,BR,71.08,moderate rain,-9.88,-56.09,Floresta Amazonica Hotel
215,Waingapu,ID,81.41,overcast clouds,-9.66,120.26,Pondok Wisata Elim
220,Andros Town,BS,73.4,scattered clouds,24.7,-77.77,Hanks place
223,Tautira,PF,86.0,shower rain,-17.73,-149.15,Pension Oaoa
224,Kununurra,AU,84.2,scattered clouds,-15.77,128.73,Hotel Kununurra
226,Saint-Joseph,RE,75.2,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
