City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Northam,GB,51.03,-4.22,42.01,86,28,5.01,scattered clouds
141,Nanortalik,GL,60.14,-45.24,25.12,90,93,5.46,overcast clouds
142,Porterville,US,36.07,-119.02,53.6,71,1,4.7,clear sky
143,Povenets,RU,62.85,34.83,20.28,96,100,16.2,light snow
144,Husavik,IS,66.04,-17.34,19.4,85,75,2.24,broken clouds
145,Cayenne,GF,4.93,-52.33,77.0,100,0,1.12,clear sky
146,Tungor,RU,53.38,142.96,-20.16,84,74,10.51,broken clouds
147,Fenoarivo,MG,-18.93,47.44,64.4,100,75,5.82,light intensity drizzle
148,Nome,US,64.5,-165.41,33.8,74,90,14.99,light snow
149,Marsabit,KE,2.33,37.99,68.99,58,66,7.56,broken clouds
150,Turukhansk,RU,65.82,87.98,-18.15,79,80,12.57,broken clouds
151,Fort Nelson,CA,58.81,-122.7,5.0,84,75,2.24,broken clouds
152,Rognan,NO,67.1,15.39,37.4,55,0,17.22,clear sky
153,Vredendal,ZA,-31.67,18.5,57.11,88,10,4.63,clear sky
154,Lebu,CL,-37.62,-73.65,58.17,79,12,10.85,few clouds
155,Constantine,DZ,36.37,6.61,42.8,70,40,16.11,scattered clouds
156,Bourail,NC,-21.57,165.48,84.22,65,36,8.08,scattered clouds
157,Mar Del Plata,AR,-38.0,-57.56,72.0,88,0,12.75,clear sky
158,Buraydah,SA,26.33,43.98,55.4,87,40,6.93,scattered clouds
159,Ayolas,PY,-27.4,-56.9,82.69,50,14,4.25,few clouds
160,Aksu,CN,41.12,80.26,14.22,91,0,3.67,clear sky
161,Vaitape,PF,-16.52,-151.75,81.66,77,95,14.45,light rain
162,Maunabo,PR,18.01,-65.9,77.0,100,61,1.01,broken clouds
163,Makoshyne,UA,51.46,32.34,35.17,98,94,7.14,overcast clouds
164,Ahuimanu,US,21.44,-157.84,80.6,69,75,11.41,broken clouds
165,Ponta Do Sol,PT,32.67,-17.1,60.8,63,75,6.93,broken clouds
166,Sambava,MG,-14.27,50.17,76.71,86,100,9.1,light rain
167,Lasa,IT,46.62,10.7,30.99,85,75,3.36,broken clouds
168,Dubbo,AU,-32.25,148.62,77.0,61,3,16.11,clear sky
169,Surman,LY,32.76,12.57,56.39,39,30,11.52,scattered clouds
170,Aykhal,RU,66.0,111.5,-14.8,75,90,8.95,light snow
171,Sitio Novo Do Tocantins,BR,-5.52,-47.46,77.7,76,31,3.02,scattered clouds
172,Yellowknife,CA,62.46,-114.35,-4.0,83,90,2.24,light snow
173,Morant Bay,JM,17.88,-76.41,80.6,65,40,9.17,scattered clouds
174,Upernavik,GL,72.79,-56.15,15.42,81,23,8.7,few clouds
175,Diu,IN,20.71,70.98,61.7,32,50,13.85,scattered clouds
176,Norman Wells,CA,65.28,-126.83,-5.8,76,75,3.36,broken clouds
177,Marsh Harbour,BS,26.54,-77.06,71.15,73,31,26.84,scattered clouds
178,Santiago Del Estero,AR,-27.8,-64.26,87.01,64,4,3.0,clear sky
179,Srednekolymsk,RU,67.45,153.68,-40.22,81,74,2.04,broken clouds
180,Olafsvik,IS,64.89,-23.71,33.91,88,80,6.02,broken clouds
181,Znamenskoye,RU,57.13,73.83,-9.83,90,100,6.82,overcast clouds
182,Rio Grande,BR,-32.03,-52.1,75.0,89,11,1.99,few clouds
183,Dudinka,RU,69.41,86.18,-11.2,76,0,6.71,clear sky
184,Sao Joao Da Barra,BR,-21.64,-41.05,76.06,84,79,18.39,broken clouds
185,Hithadhoo,MV,-0.6,73.08,81.95,77,93,8.9,overcast clouds
